Realisation number,Time,x
1.0,2.32,1.006576360052562
1.0,2.33,1.0147108612485198
1.0,2.34,1.0044040293577354
1.0,2.35,1.0101837568520882
1.0,2.36,1.0245960730640247
1.0,2.37,1.0313491504342354
1.0,2.38,1.0410371233910372
1.0,2.39,1.0374661709444095
1.0,2.4,1.0275738308887938
1.0,2.41,1.0268557450943383
1.0,2.42,1.0179113337518797
1.0,2.43,1.0287727749868665
1.0,2.44,1.0127604073012633
1.0,2.45,1.018211618511973
1.0,2.46,1.0308707571362579
1.0,2.47,1.0337443608219257
1.0,2.48,1.0405041485296829
1.0,2.49,1.0336607953072463
1.0,2.5,1.0334903992210442
1.0,2.51,1.0245651734111678
1.0,2.52,1.0475386789409133
1.0,2.53,1.0546267872231279
1.0,2.54,1.0510456287121253
1.0,2.55,1.067993133259781
1.0,2.56,1.0639333088151381
1.0,2.57,1.0690035041209422
1.0,2.58,1.0759707230983988
1.0,2.59,1.0928985570370364
1.0,2.6,1.0965729608287689
1.0,2.61,1.0949367018566447
1.0,2.62,1.0816681560385955
1.0,2.63,1.0947492801676086
1.0,2.64,1.110346989223914
1.0,2.65,1.0967438843475759
1.0,2.66,1.0783186245965832
1.0,2.67,1.0978503077354353
1.0,2.68,1.0769382204840563
1.0,2.69,1.0682987741084007
1.0,2.7,1.0646677837125162
1.0,2.71,1.0747158152883503
1.0,2.72,1.084822572740983
1.0,2.73,1.0654042416101581
1.0,2.74,1.0919643398882917
1.0,2.75,1.093333380184023
1.0,2.76,1.0733877846681947
1.0,2.77,1.0561226995579742
1.0,2.78,1.0468489853989287
1.0,2.79,1.045949516221698
1.0,2.8,1.0554840102487473
1.0,2.81,1.0593961335712083
1.0,2.82,1.0712796441558134
1.0,2.83,1.0655335295335955
1.0,2.84,1.0698624272884492
1.0,2.85,1.0799158195620426
1.0,2.86,1.0740168216317763
1.0,2.87,1.0666657081170923
1.0,2.88,1.0612776807769502
1.0,2.89,1.0377904068995598
1.0,2.9,1.0478920691864502
1.0,2.91,1.0424744782166961
1.0,2.92,1.0483281598934806
1.0,2.93,1.0572192141424643
1.0,2.94,1.0495891759342684
1.0,2.95,1.036904991787489
1.0,2.96,1.0477217427525063
1.0,2.97,1.02602099983278
1.0,2.98,1.0284799337966442
1.0,2.99,1.014127768429675
1.0,3.0,1.0087981565628121
1.0,3.01,0.9981335019771621
1.0,3.02,0.989679860517137
1.0,3.03,0.9901340616467786
1.0,3.04,0.995433486387553
1.0,3.05,0.9940348703141071
1.0,3.06,0.9920626078407181
1.0,3.07,0.9916703471136488
1.0,3.08,0.9920531791644479
1.0,3.09,1.0031094823681546
1.0,3.1,1.007607745465661
1.0,3.11,1.018188928119658
1.0,3.12,1.0230559607400156
1.0,3.13,1.0298766687657093
1.0,3.14,1.0419298216505362
1.0,3.15,1.043412968077776
1.0,3.16,1.0338915662140933
1.0,3.17,1.039515520810435
1.0,3.18,1.041420852849531
1.0,3.19,1.0505550119642977
1.0,3.2,1.0621861555391787
1.0,3.21,1.0502647944227732
1.0,3.22,1.045906989082721
1.0,3.23,1.0410731969953972
1.0,3.24,1.0394991835043461
1.0,3.25,1.037717555463684
1.0,3.26,1.02866665354256
1.0,3.27,1.0391130963544664
1.0,3.28,1.04267398015922
1.0,3.29,1.0463918626165154
