Realisation number,Time,x
1.0,2.84,0.9729519875862114
1.0,2.85,0.9826172159221217
1.0,2.86,0.9763488319149579
1.0,2.87,0.968615729845305
1.0,2.88,0.962830418491626
1.0,2.89,0.9389346090518357
1.0,2.9,0.9485808265020782
1.0,2.91,0.9427280679018704
1.0,2.92,0.9481356906322714
1.0,2.93,0.9565924865367924
1.0,2.94,0.9485459788183215
1.0,2.95,0.9354295344391967
1.0,2.96,0.9457881434591391
1.0,2.97,0.9236515419420991
1.0,2.98,0.9256300925904265
1.0,2.99,0.9108031362047996
1.0,3.0,0.9049695244873449
1.0,3.0100000000000002,0.893790643527047
1.0,3.02,0.8848014870705675
1.0,3.0300000000000002,0.8847036734679404
1.0,3.04,0.889453469079795
1.0,3.0500000000000003,0.8875178411466137
1.0,3.06,0.8850067997917253
1.0,3.0700000000000003,0.8840727604040728
1.0,3.08,0.8839142187382711
1.0,3.09,0.8944312080002462
1.0,3.1,0.8984153824411196
1.0,3.11,0.9084931561033215
1.0,3.12,0.9128806992747204
1.0,3.13,0.9192330147912436
1.0,3.14,0.9308330805131874
1.0,3.15,0.9318899113477602
1.0,3.16,0.921945099196955
1.0,3.17,0.9271238778523195
1.0,3.18,0.928596544683507
1.0,3.19,0.9373020212080668
1.0,3.2,0.948524793684653
1.0,3.21,0.9362208178251764
1.0,3.22,0.9314521259303573
1.0,3.23,0.9261968262200421
1.0,3.24,0.9241897122923054
1.0,3.25,0.9219710371403324
1.0,3.2600000000000002,0.9124787025912271
1.0,3.27,0.9224624809229154
1.0,3.2800000000000002,0.9255851756656248
1.0,3.29,0.9288729526421213
1.0,3.3000000000000003,0.9384321543317704
1.0,3.31,0.9439798041586954
1.0,3.3200000000000003,0.9414924726719532
1.0,3.33,0.9435557169485279
1.0,3.34,0.9454013446483664
1.0,3.35,0.9453622278888164
1.0,3.36,0.9412756127091694
1.0,3.37,0.923658517792975
1.0,3.38,0.9174250748316963
1.0,3.39,0.9103155658875047
1.0,3.4,0.9275172931150589
1.0,3.41,0.9233765530670496
1.0,3.42,0.910563225458317
1.0,3.43,0.9167438146121679
1.0,3.44,0.9169749008633166
1.0,3.45,0.9005248048700246
1.0,3.46,0.8919477231970724
1.0,3.47,0.8973678043318742
1.0,3.48,0.8943556785586674
1.0,3.49,0.8909740379829603
1.0,3.5,0.8981706095402242
1.0,3.5100000000000002,0.9050436332167708
1.0,3.52,0.9114822813497884
1.0,3.5300000000000002,0.9264130896694321
1.0,3.54,0.9219349502773109
1.0,3.5500000000000003,0.9088537092182885
1.0,3.56,0.9358832564149375
1.0,3.5700000000000003,0.9306970386546091
1.0,3.58,0.9317090511930858
1.0,3.59,0.9460254760546071
1.0,3.6,0.9628884362618885
1.0,3.61,0.9379379299518384
1.0,3.62,0.9385934730639875
1.0,3.63,0.9360508571731484
1.0,3.64,0.9363366189070512
1.0,3.65,0.9230301337633765
1.0,3.66,0.910763420548149
1.0,3.67,0.9047211811175487
1.0,3.68,0.9051484485480358
1.0,3.69,0.9107598201783572
1.0,3.7,0.9096694048694645
1.0,3.71,0.8935285571302243
1.0,3.72,0.8997000228594761
1.0,3.73,0.8864636114270349
1.0,3.74,0.8915157537930875
1.0,3.75,0.8821332402037495
1.0,3.7600000000000002,0.8709258388172445
1.0,3.77,0.8698092791757142
1.0,3.7800000000000002,0.8813601600295703
1.0,3.79,0.8894726838533701
1.0,3.8000000000000003,0.9019226867531542
1.0,3.81,0.8939217781338535
1.0,3.8200000000000003,0.8886164109127329
1.0,3.83,0.8770461526807919
1.0,3.84,0.8729589133576462
1.0,3.85,0.8895012937032613
1.0,3.86,0.8872224243078882
1.0,3.87,0.8965588212049782
1.0,3.88,0.8949936403095667
1.0,3.89,0.8914909914132098
1.0,3.9,0.8853403260497166
1.0,3.91,0.8732562712231744
1.0,3.92,0.8580998244202499
1.0,3.93,0.8749842430192216
